Unnamed: 0,Age_Group_18-25,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Gender_Female,Gender_Male,Avg_Transaction_Amount,Add_to_Cart,Browse,Login,Purchase,Label
0,False,False,False,False,True,False,False,674.3301115349566,0,5,2,3,No Fraud
1,True,False,False,False,False,False,True,513.3632081807739,2,4,1,3,No Fraud
2,True,False,False,False,False,True,False,968.0486723775467,2,5,1,1,No Fraud
3,True,False,False,False,False,False,False,297.08060588581435,0,5,2,4,No Fraud
4,False,True,False,False,False,True,False,629.0707743990466,3,5,1,6,Fraud
5,False,True,False,False,False,True,False,730.1890134912004,1,1,2,5,No Fraud
6,False,True,False,False,False,True,False,843.0080404108435,1,5,4,5,Fraud
7,False,False,True,False,False,False,True,466.2739273852064,2,5,3,3,No Fraud
8,True,False,False,False,False,False,False,718.2297168917333,4,1,1,3,No Fraud
9,False,False,False,False,True,False,False,372.8813242458545,0,4,1,1,No Fraud
10,False,False,False,False,False,True,False,491.92848312563825,4,8,4,1,No Fraud
11,False,True,False,False,False,True,False,906.0644180830593,1,4,3,5,No Fraud
12,False,False,False,False,False,True,False,954.9168483978589,2,7,3,3,No Fraud
13,False,True,False,False,False,True,False,746.9356122345382,2,6,2,3,No Fraud
14,False,True,False,False,False,True,False,436.9167016985665,2,5,1,6,No Fraud
15,False,False,True,False,False,True,False,838.0520109771976,2,9,3,5,No Fraud
16,False,False,False,True,False,False,True,123.28037355287816,2,8,1,1,No Fraud
17,False,False,False,False,False,False,True,192.47131948547894,0,5,1,6,No Fraud
18,True,False,False,False,False,True,False,695.2363627378251,4,7,1,5,Fraud
19,False,False,False,True,False,False,False,362.1237177430517,1,9,1,1,Fraud
20,True,False,False,False,False,False,False,956.24759656043,1,7,2,1,No Fraud
21,False,False,False,False,True,False,True,492.45455088307426,2,3,3,6,No Fraud
22,False,True,False,False,False,True,False,486.4283383502593,2,5,1,6,No Fraud
23,False,False,True,False,False,False,True,710.2715591718381,2,9,3,1,No Fraud
24,False,False,False,True,False,False,False,790.8117060755707,3,9,4,3,Fraud
25,False,False,False,True,False,False,True,528.0028643126228,1,8,4,5,No Fraud
